|Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
161||||||||1|17/01/2018|Vente|84500.0|80.0||AV|0225|AMEDEE MERCIER|1000.0|BOURG-EN-BRESSE|1|53||CL|101||110.0||127.0||||||||2|2.0|Appartement||69.0|3.0|||
162||||||||1|05/01/2018|Vente|155000.0|7.0||ALL|0246|DES LUCIOLES|1960.0|PERONNAS|1|289||AB|203||7.0|149.79|||||||||1|1.0|Maison||142.0|7.0|||
163||||||||1|26/01/2018|Vente|15000.0||||B072|AUX COUPES|1380.0|BAGE-DOMMARTIN|1|25||F|603||||||||||||0||||||BT||78410.0
164||||||||1|11/01/2018|Vente|32000.0||||B156|LE VILLAGE - CHAVANNES|1250.0|NIVIGNE ET SURAN|1|95||AD|276||||||||||||0||||||S||455.0
165||||||||1|11/01/2018|Vente|32000.0||||B156|LE VILLAGE - CHAVANNES|1250.0|NIVIGNE ET SURAN|1|95||AD|306||||||||||||0||||||AB||70.0
166||||||||1|11/01/2018|Vente|32000.0||||B156|LE VILLAGE - CHAVANNES|1250.0|NIVIGNE ET SURAN|1|95||AD|307||||||||||||0||||||AB||80.0
167||||||||1|10/01/2018|Vente|127700.0|12.0||SEN|0075|DE L ALAMBIC|1250.0|BOHAS-MEYRIAT-RIGNAT|1|245||A|1114||||||||||||0|1.0|Maison||90.0|3.0|S||425.0
168||||||||1|10/01/2018|Vente|127700.0||||B076|MOINANS|1250.0|BOHAS-MEYRIAT-RIGNAT|1|245||A|1115||||||||||||0||||||S||48.0
169||||||||1|11/01/2018|Vente|66000.0|10.0||RUE|1610|GABRIEL VICAIRE|1000.0|BOURG-EN-BRESSE|1|53||AC|143||20.0||||||||||1|3.0|Dépendance||0.0|0.0|||
170||||||||1|11/01/2018|Vente|66000.0|10.0||RUE|1610|GABRIEL VICAIRE|1000.0|BOURG-EN-BRESSE|1|53||AC|143||10.0||||||||||1|3.0|Dépendance||0.0|0.0|||
171||||||||1|11/01/2018|Vente|66000.0|10.0||RUE|1610|GABRIEL VICAIRE|1000.0|BOURG-EN-BRESSE|1|53||AC|143||24.0|76.3|25.0|68.0|||||||2|2.0|Appartement||75.0|3.0|||
172||||||||1|26/01/2018|Vente|248420.0|140.0||RUE|0180|DES TUPINIERES|1560.0|SAINT-JULIEN-SUR-REYSSOUZE|1|367||A|900||||||||||||0|1.0|Maison||199.0|5.0|S||1266.0
173||||||||1|19/01/2018|Vente|42000.0|3.0||RUE|3580|TEYNIERE|1000.0|BOURG-EN-BRESSE|1|53||AN|198||8.0||||||||||1|2.0|Appartement||42.0|2.0|||
174||||||||2|25/01/2018|Vente|95000.0|25.0||RUE|2260|DES LAZARISTES|1000.0|BOURG-EN-BRESSE|1|53||AH|374||||||||||||0|2.0|Appartement||70.0|3.0|||
175||||||||2|25/01/2018|Vente|95000.0|25.0||RUE|2260|DES LAZARISTES|1000.0|BOURG-EN-BRESSE|1|53||AH|374||||||||||||0|3.0|Dépendance||0.0|0.0|||
176||||||||2|25/01/2018|Vente|95000.0|25.0||RUE|2260|DES LAZARISTES|1000.0|BOURG-EN-BRESSE|1|53||AH|374||||||||||||0|2.0|Appartement||73.0|3.0|||
177||||||||2|25/01/2018|Vente|95000.0|25.0||RUE|2260|DES LAZARISTES|1000.0|BOURG-EN-BRESSE|1|53||AH|374||||||||||||0|2.0|Appartement||43.0|3.0|||
178||||||||1|10/01/2018|Vente|138753.61||||B077|AUX VIGNES|1190.0|GORREVOD|1|175||WB|701||||||||||||0||||||AB||954.0
179||||||||1|10/01/2018|Vente|138753.61||||B077|AUX VIGNES|1190.0|GORREVOD|1|175||WB|704||||||||||||0||||||AB||800.0
180||||||||1|10/01/2018|Vente|138753.61||||B077|AUX VIGNES|1190.0|GORREVOD|1|175||WB|706||||||||||||0||||||AB||928.0
181||||||||1|05/01/2018|Vente|73500.0||||B116|LE FORT|1440.0|VIRIAT|1|451||BI|150||||||||||||0||||||AB||630.0
182||||||||1|12/01/2018|Vente|1000.0||||B221|MARBOZ|1851.0|MARBOZ|1|232||D|2239||||||||||||0||||||P||139.0
183||||||||1|11/01/2018|Vente|75000.0|||RUE|0064|DE LA CHARTREUSE|1960.0|PERONNAS|1|289||AI|215||||||||||||0||||||AB||656.0
184||||||||1|11/01/2018|Vente|196000.0|357.0||RUE|0070|DES LUYERS|1340.0|MONTREVEL-EN-BRESSE|1|266||AD|341||39.0|74.38|||||||||1|2.0|Appartement||75.0|3.0|||
185||||||||1|11/01/2018|Vente|196000.0|357.0||RUE|0070|DES LUYERS|1340.0|MONTREVEL-EN-BRESSE|1|266||AD|341||61.0||||||||||1|3.0|Dépendance||0.0|0.0|||
186||||||||1|12/01/2018|Vente|1500.0||||B055|SUR FAY|1250.0|RAMASSE|1|317||B|365||||||||||||0||||||L||2920.0
187||||||||1|12/01/2018|Vente|1500.0||||B123|TRABLE|1250.0|RAMASSE|1|317||D|2||||||||||||0||||||L||1230.0
188||||||||1|12/01/2018|Vente|1500.0||||B123|TRABLE|1250.0|RAMASSE|1|317||D|5||||||||||||0||||||BT||1520.0
189||||||||1|12/01/2018|Vente|1500.0||||B123|TRABLE|1250.0|RAMASSE|1|317||D|21||||||||||||0||||||BT||390.0
190||||||||1|12/01/2018|Vente|1500.0||||B123|TRABLE|1250.0|RAMASSE|1|317||D|22||||||||||||0||||||BT||360.0
191||||||||1|12/01/2018|Vente|1500.0||||B123|TRABLE|1250.0|RAMASSE|1|317||D|23||||||||||||0||||||L||2220.0
192||||||||1|12/01/2018|Vente|1500.0||||B123|TRABLE|1250.0|RAMASSE|1|317||D|25||||||||||||0||||||L||2100.0
193||||||||1|12/01/2018|Vente|1500.0||||B123|TRABLE|1250.0|RAMASSE|1|317||D|26||||||||||||0||||||BT||1840.0
194||||||||1|12/01/2018|Vente|1500.0||||B116|SOUS LA ROCHE|1250.0|RAMASSE|1|317||D|171||||||||||||0||||||BT||930.0
195||||||||1|15/01/2018|Vente|160000.0||||B041|CHARMOUX|1270.0|COLIGNY|1|108||AE|89||||||||||||0||||||P||160.0
196||||||||1|15/01/2018|Vente|160000.0|5053.0|||B041|CHARMOUX|1270.0|COLIGNY|1|108||AE|90||||||||||||0|1.0|Maison||159.0|5.0|P||1030.0
197||||||||1|15/01/2018|Vente|160000.0|5053.0|||B041|CHARMOUX|1270.0|COLIGNY|1|108||AE|90||||||||||||0|1.0|Maison||159.0|5.0|S||500.0
198||||||||1|25/01/2018|Vente|50000.0||||B041|EN LAGNAT|1290.0|CRUZILLES-LES-MEPILLAT|1|136||ZA|267||||||||||||0||||||AB||751.0
199||||||||1|25/01/2018|Vente|50000.0||||B041|EN LAGNAT|1290.0|CRUZILLES-LES-MEPILLAT|1|136||ZA|268||||||||||||0||||||AB||217.0
200||||||||1|25/01/2018|Vente|50000.0||||B041|EN LAGNAT|1290.0|CRUZILLES-LES-MEPILLAT|1|136||ZA|275||||||||||||0||||||S||16.0
201||||||||2|03/01/2018|Vente|20000.0||||B170|LES PATTES|1340.0|SAINT-DIDIER-D AUSSIAT|1|346||AI|382||||||||||||0||||||P||1376.0
202||||||||2|03/01/2018|Vente|20000.0||||B170|LES PATTES|1340.0|SAINT-DIDIER-D AUSSIAT|1|346||AI|383||||||||||||0||||||P||732.0
203||||||||1|15/01/2018|Vente|29000.0||||B131|LES NOYERS|1560.0|SAINT-NIZIER-LE-BOUCHOUX|1|380||YC|55||||||||||||0||||||T||1010.0
204||||||||1|15/01/2018|Vente|29000.0|138.0||CHE|0275|DES NOYERS|1560.0|SAINT-NIZIER-LE-BOUCHOUX|1|380||YC|56||||||||||||0|1.0|Maison||72.0|3.0|S||1441.0
205||||||||1|15/01/2018|Vente|29000.0||||B131|LES NOYERS|1560.0|SAINT-NIZIER-LE-BOUCHOUX|1|380||YC|57||||||||||||0||||||P||895.0
206||||||||1|15/01/2018|Vente|29000.0||||B131|LES NOYERS|1560.0|SAINT-NIZIER-LE-BOUCHOUX|1|380||YC|58||||||||||||0||||||P||707.0
207||||||||1|15/01/2018|Vente|29000.0|5288.0|||B131|LES NOYERS|1560.0|SAINT-NIZIER-LE-BOUCHOUX|1|380||YC|59||||||||||||0|1.0|Maison||54.0|2.0|S||209.0
208||||||||1|11/01/2018|Vente|378.0||||B032|LA CHANLIARDE|1190.0|ST ETIENNE-SUR-REYSSOUZE|1|352||C|433||||||||||||0||||||BP||3780.0
209||||||||1|08/01/2018|Vente|270.0||||B052|CROZET|1340.0|ATTIGNAT|1|24||C|42||||||||||||0||||||T||1794.0
210||||||||1|11/01/2018|Vente|160000.0|3.0||PL|0082|DE LA RESISTANCE|1340.0|MONTREVEL-EN-BRESSE|1|266||AC|83||||||||||||0|2.0|Appartement||112.0|3.0|S||238.0
211||||||||1|11/01/2018|Vente|160000.0|3.0||PL|0082|DE LA RESISTANCE|1340.0|MONTREVEL-EN-BRESSE|1|266||AC|83||||||||||||0|2.0|Appartement||28.0|2.0|S||238.0
212||||||||1|11/01/2018|Vente|160000.0|3.0||PL|0082|DE LA RESISTANCE|1340.0|MONTREVEL-EN-BRESSE|1|266||AC|83||||||||||||0|3.0|Dépendance||0.0|0.0|S||238.0
213||||||||1|11/01/2018|Vente|160000.0|3.0||PL|0082|DE LA RESISTANCE|1340.0|MONTREVEL-EN-BRESSE|1|266||AC|83||||||||||||0|3.0|Dépendance||0.0|0.0|S||238.0
214||||||||1|08/01/2018|Vente|2100.0||||B002|BALVAY|1340.0|CRAS-SUR-REYSSOUZE|1|130||A|247||||||||||||0||||||P||2984.0
215||||||||1|08/01/2018|Vente|2100.0||||B002|BALVAY|1340.0|CRAS-SUR-REYSSOUZE|1|130||A|248||||||||||||0||||||T||3409.0
216||||||||1|08/01/2018|Vente|2100.0||||B002|BALVAY|1340.0|CRAS-SUR-REYSSOUZE|1|130||A|845||||||||||||0||||||T||3409.0
217||||||||1|16/01/2018|Vente|229384.0|388.0||RTE|0260|DE ST JEAN|1340.0|MARSONNAS|1|236||AI|607||||||||||||0|1.0|Maison||97.0|4.0|AG|JARD|915.0
218||||||||1|16/01/2018|Vente|229384.0|388.0||RTE|0260|DE ST JEAN|1340.0|MARSONNAS|1|236||AI|607||||||||||||0|1.0|Maison||97.0|4.0|S||500.0
219||||||||1|16/01/2018|Vente|229384.0||||B076|LE MOLLARD|1340.0|MARSONNAS|1|236||AI|608||||||||||||0||||||AG|JARD|82.0
220||||||||1|16/01/2018|Vente|229384.0||||B076|LE MOLLARD|1340.0|MARSONNAS|1|236||AI|609||||||||||||0||||||AG|JARD|30.0
221||||||||1|29/01/2018|Vente|25000.0||||B036|AUX PLATIERES|1290.0|SAINT-ANDRE-D HUIRIAT|1|334||A|1021||||||||||||0||||||AB||1248.0
222||||||||1|12/01/2018|Vente|30000.0|335.0||CHE|0270|DES CHARMES|1340.0|FOISSIAT|1|163||WC|243||||||||||||0|1.0|Maison||70.0|2.0|S||2444.0
223||||||||2|17/01/2018|Vente|7300.0||||B005|BELLEGARDE|1380.0|SAINT-CYR-SUR-MENTHON|1|343||ZP|196||||||||||||0||||||BS||344.0
224||||||||1|29/01/2018|Echange|300.0||||B406|VERS LES COMBES|1250.0|BOHAS-MEYRIAT-RIGNAT|1|245|324.0|D|1884||||||||||||0||||||P||1172.0
225||||||||2|29/01/2018|Echange|300.0||||B315|EN COURTISANE|1250.0|BOHAS-MEYRIAT-RIGNAT|1|245|324.0|D|1567||||||||||||0||||||VI||1419.0
226||||||||3|04/01/2018|Vente|54000.0||||B166|AUX PACAUDS|1190.0|CHAVANNES-SUR-REYSSOUZE|1|94||A|1||||||||||||0||||||S||660.0
227||||||||3|04/01/2018|Vente|54000.0||||B166|AUX PACAUDS|1190.0|CHAVANNES-SUR-REYSSOUZE|1|94||A|2||||||||||||0||||||P||3350.0
228||||||||3|04/01/2018|Vente|54000.0||||B166|AUX PACAUDS|1190.0|CHAVANNES-SUR-REYSSOUZE|1|94||A|3||||||||||||0||||||J||355.0
229||||||||3|04/01/2018|Vente|54000.0||||B166|AUX PACAUDS|1190.0|CHAVANNES-SUR-REYSSOUZE|1|94||A|917||||||||||||0||||||P||4173.0
230||||||||3|04/01/2018|Vente|54000.0||||B078|LES PACCAUD|1560.0|VESCOURS|1|437||C|615||||||||||||0||||||P||5790.0
231||||||||3|04/01/2018|Vente|54000.0||||B078|LES PACCAUD|1560.0|VESCOURS|1|437||C|616||||||||||||0||||||T||1067.0
232||||||||3|04/01/2018|Vente|54000.0||||B078|LES PACCAUD|1560.0|VESCOURS|1|437||C|617||||||||||||0||||||S||1600.0
233||||||||3|04/01/2018|Vente|54000.0||||B078|LES PACCAUD|1560.0|VESCOURS|1|437||C|617||||||||||||0||||||T||6330.0
234||||||||3|04/01/2018|Vente|54000.0|229.0||RTE|0140|DES PACCAUDS|1560.0|VESCOURS|1|437||C|618||||||||||||0|1.0|Maison||110.0|4.0|S||4500.0
235||||||||3|04/01/2018|Vente|54000.0||||B078|LES PACCAUD|1560.0|VESCOURS|1|437||C|768||||||||||||0||||||T||38000.0
236||||||||1|19/01/2018|Vente|168600.0||||B299|THOL|1160.0|NEUVILLE-SUR-AIN|1|273||E|853||||||||||||0||||||S||59.0
237||||||||1|19/01/2018|Vente|168600.0||||B299|THOL|1160.0|NEUVILLE-SUR-AIN|1|273||E|854||||||||||||0||||||S||57.0
238||||||||1|19/01/2018|Vente|168600.0|31.0||IMP|0127|DU CARILLON|1160.0|NEUVILLE-SUR-AIN|1|273||E|1630||||||||||||0|1.0|Maison||70.0|3.0|S||242.0
239||||||||1|19/01/2018|Vente|168600.0||||B299|THOL|1160.0|NEUVILLE-SUR-AIN|1|273||E|1834||||||||||||0||||||S||38.0
240||||||||1|19/01/2018|Vente|168600.0|||CHEM|0125|DU CARILLON|1160.0|NEUVILLE-SUR-AIN|1|273||E|2088||||||||||||0||||||P||346.0
241||||||||1|09/01/2018|Vente|1.0||||B127|PRE DU BY|1570.0|MANZIAT|1|231||AK|367||||||||||||0||||||S||9.0
