|Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
4114||||||||1|20/04/2021|Vente|389000.0|52.0||RUE|0211|DES LAURIERS|1000|SAINT-DENIS-LES-BOURG|1|344||AM|2||||||||||||0|1.0|Maison||168.0|9.0|AG||1392.0
4115||||||||1|20/04/2021|Vente|389000.0|52.0||RUE|0211|DES LAURIERS|1000|SAINT-DENIS-LES-BOURG|1|344||AM|2||||||||||||0|3.0|Dépendance||0.0|0.0|S||1000.0
4116||||||||1|20/04/2021|Vente|389000.0|52.0||RUE|0211|DES LAURIERS|1000|SAINT-DENIS-LES-BOURG|1|344||AM|2||||||||||||0|3.0|Dépendance||0.0|0.0|AG||1392.0
4117||||||||1|20/04/2021|Vente|180000.0|5.0||RTE|0007|DES CHAMPAGNES|1250|CIZE|1|106||B|729||||||||||||0|1.0|Maison||125.0|5.0|S||700.0
4118||||||||1|20/04/2021|Vente|180000.0|5.0||RTE|0007|DES CHAMPAGNES|1250|CIZE|1|106||B|729||||||||||||0|1.0|Maison||125.0|5.0|J||247.0
4119||||||||1|30/04/2021|Vente|240000.0||||B112|VACAGNOLE|1340|ATTIGNAT|1|24||AL|128||||||||||||0||||||S||368.0
4120||||||||1|30/04/2021|Vente|240000.0|78.0|G|ALL|0290|DU CHARRIAT|1340|ATTIGNAT|1|24||AL|134||||||||||||0|1.0|Maison||108.0|5.0|S||364.0
4121||||||||1|30/04/2021|Vente|294000.0|5674.0|||B075|ESTOMET|1270|COLIGNY|1|108||ZI|46||||||||||||0|3.0|Dépendance||0.0|0.0|AG||2040.0
4122||||||||1|30/04/2021|Vente|294000.0|5674.0|||B075|ESTOMET|1270|COLIGNY|1|108||ZI|46||||||||||||0|1.0|Maison||138.0|5.0|AG||2040.0
4123||||||||1|30/04/2021|Vente|294000.0|5674.0|||B075|ESTOMET|1270|COLIGNY|1|108||ZI|46||||||||||||0|1.0|Maison||138.0|5.0|S||600.0
4124||||||||1|30/04/2021|Vente|294000.0|5674.0|||B075|ESTOMET|1270|COLIGNY|1|108||ZI|46||||||||||||0|3.0|Dépendance||0.0|0.0|S||600.0
4125||||||||1|19/04/2021|Vente|261080.0|9.0||RUE|3565|DES SYCOMORES|1000|BOURG-EN-BRESSE|1|53||CS|49||||||||||||0|1.0|Maison||91.0|5.0|S||899.0
4126||||||||1|30/04/2021|Vente|138000.0|5162.0|||B029|SEILLIERE|1340|MALAFRETAZ|1|229||C|214||||||||||||0|3.0|Dépendance||0.0|0.0|S||1699.0
4127||||||||1|30/04/2021|Vente|138000.0|5162.0|||B029|SEILLIERE|1340|MALAFRETAZ|1|229||C|214||||||||||||0|1.0|Maison||107.0|4.0|S||1699.0
4128||||||||1|30/04/2021|Vente|138000.0||||B029|SEILLIERE|1340|MALAFRETAZ|1|229||C|605||||||||||||0||||||P||7509.0
4129||||||||1|07/05/2021|Vente|136850.0|150.0||RUE|0095|DE LA GARE|1560|SAINT-JULIEN-SUR-REYSSOUZE|1|367||A|19||||||||||||0|1.0|Maison||85.0|5.0|S||375.0
4130||||||||1|03/05/2021|Vente|752.0||||B090|LES RIOUX|1560|LESCHEROUX|1|212||A|74||||||||||||0||||||BS||7520.0
4131||||||||1|07/05/2021|Vente|1000.0||||B281|PRES VULIN|1851|MARBOZ|1|232||ZI|2||||||||||||0||||||P||5560.0
4132||||||||1|04/05/2021|Vente|12000.0|255.0||RUE|0070|DES LUYERS|1340|MONTREVEL-EN-BRESSE|1|266||AD|121||43.0||||||||||1|3.0|Dépendance||0.0|0.0|||
4133||||||||1|04/05/2021|Vente|64000.0||||B014|LE GRAND CHAMP|1380|SAINT-ANDRE-DE-BAGE|1|332||A|1982||||||||||||0||||||AB||635.0
